"265fb6c","Aryahh07","Wed, 21 Feb 2024 14:24:16 -0500","completed",	 1 file changed, 1 deletion(-)	
"3d2b2a6","Aryahh07","Tue, 20 Feb 2024 21:36:30 -0500","deleted:    ethan_test_minqueue.cpp",	 1 file changed, 541 deletions(-)	
"c06b550","Aryahh07","Tue, 20 Feb 2024 21:36:10 -0500","completed test_minqueue",	 1 file changed, 23 insertions(+)	
"ae40273","Ethan Tecson","Tue, 20 Feb 2024 16:35:30 -0500","more test added",	 1 file changed, 51 insertions(+), 4 deletions(-)	
"278f347","Andrew Angulo","Tue, 20 Feb 2024 14:25:13 -0500","Added Pre/Post Conditions",	 1 file changed, 3 insertions(+)	
"ae0fd97","Andrew Angulo","Tue, 20 Feb 2024 14:19:37 -0500","Added Pre/Post Conditions",	 1 file changed, 31 insertions(+), 10 deletions(-)	
"377b1ca","Aryahh07","Tue, 20 Feb 2024 00:11:56 -0500","fixed minor issues in minqueue.cpp",	 1 file changed, 5 insertions(+), 4 deletions(-)	
"bdf1def","Aryahh07","Mon, 19 Feb 2024 23:58:04 -0500","completed test cases",	 1 file changed, 110 insertions(+), 10 deletions(-)	
"d7de0ed","Aryahh07","Mon, 19 Feb 2024 22:46:05 -0500","updated test_minqueue and minqueue.cpp",	 3 files changed, 10 insertions(+), 11 deletions(-)	
"6759d1c","Andyreww","Mon, 19 Feb 2024 14:27:32 -0500","Min and Extract Min TestCases",	 1 file changed, 199 insertions(+), 10 deletions(-)	
"bb922bf","Ethan Tecson","Mon, 19 Feb 2024 11:20:47 -0500","minqueue and insert test done",	 1 file changed, 541 insertions(+)	
"5890b9b","Andyreww","Sun, 18 Feb 2024 19:49:10 -0500","Cleaned Comments",	 1 file changed, 29 insertions(+), 14 deletions(-)	
"5818029","Ethan Tecson","Sun, 18 Feb 2024 19:28:54 -0500","constructor testing in progress",	 1 file changed, 54 insertions(+), 1 deletion(-)	
"cf99216","Aryahh07","Sat, 17 Feb 2024 19:35:24 -0500","created test_minqueue.cpp",	 2 files changed, 424 insertions(+), 10 deletions(-)	
"a1d8a34","Aryahh07","Sat, 17 Feb 2024 19:18:26 -0500","updated minqueue.h, usecase.h, usecase.cpp",	 3 files changed, 23 insertions(+), 15 deletions(-)	
"349ad05","Andrew Angulo","Sat, 17 Feb 2024 19:14:25 -0500","Cleaned Comments",	 1 file changed, 178 insertions(+), 90 deletions(-)	
"8f023a9","Aryahh07","Sat, 17 Feb 2024 18:58:46 -0500","updated main.cpp",	 3 files changed, 19 insertions(+), 9 deletions(-)	
"30b1cbc","Aryahh07","Sat, 17 Feb 2024 18:41:18 -0500","completed usecase.cpp, changed minqueue.h, test",	 4 files changed, 44 insertions(+), 32 deletions(-)	
"b94c672","Aryahh07","Sat, 17 Feb 2024 16:27:26 -0500","Completed minqueue.cpp",	 1 file changed, 7 insertions(+), 2 deletions(-)	
"9a096c1","Ethan Tecson","Sat, 17 Feb 2024 01:01:19 -0500","comments added",	 1 file changed, 4 insertions(+), 4 deletions(-)	
"5eab7a5","Ethan Tecson","Sat, 17 Feb 2024 00:58:05 -0500","main and usecase updated",	 2 files changed, 58 insertions(+), 1 deletion(-)	
"ddf35c5","Ethan Tecson","Sat, 17 Feb 2024 00:53:43 -0500","Delete EthanPush/usecase.cpp",	 1 file changed, 50 deletions(-)	
"181d00b","Ethan Tecson","Sat, 17 Feb 2024 00:53:34 -0500","Delete EthanPush/main.cpp",	 1 file changed, 23 deletions(-)	
"c32fbad","Ethan Tecson","Sat, 17 Feb 2024 00:51:55 -0500","Usecase Done",	 2 files changed, 73 insertions(+)	
"f560055","Aryahh07","Fri, 16 Feb 2024 17:21:47 -0500","updated minqueue.cpp",	 1 file changed, 26 insertions(+), 24 deletions(-)	
"f6186bc","Aryahh07","Fri, 16 Feb 2024 16:49:24 -0500","minqueue.cpp",	 1 file changed, 13 insertions(+), 11 deletions(-)	
"48cb446","Aryahh07","Fri, 16 Feb 2024 16:31:23 -0500","fixed bugs",	 2 files changed, 22 insertions(+), 15 deletions(-)	
"b26f2c2","Aryahh07","Fri, 16 Feb 2024 14:46:07 -0500","updates decrease_key",	 1 file changed, 9 insertions(+), 5 deletions(-)	
"bbb2f91","Andyreww","Fri, 16 Feb 2024 13:56:48 -0500","Update README.md",	 1 file changed, 28 insertions(+), 2 deletions(-)	
"9da10aa","Andyreww","Thu, 15 Feb 2024 22:56:28 -0500","Completed decrease_key",	 1 file changed, 14 insertions(+), 1 deletion(-)	
"bc22af5","Andyreww","Thu, 15 Feb 2024 22:18:13 -0500","Complted min_extract",	 1 file changed, 10 insertions(+), 5 deletions(-)	
"7d36042","Andyreww","Thu, 15 Feb 2024 21:56:21 -0500","added insert and min still working on extract_min",	 1 file changed, 18 insertions(+), 2 deletions(-)	
"b090bb3","Aryahh07","Thu, 15 Feb 2024 19:40:53 -0500","fixed methods",	 3 files changed, 26 insertions(+), 14 deletions(-)	
"a1cf0bc","Aryahh07","Thu, 15 Feb 2024 18:33:28 -0500","Updated",	 4 files changed, 165 insertions(+), 11 deletions(-)	
"203ed42","Aryahh07","Thu, 15 Feb 2024 13:23:33 -0500","Updated all files.",	 6 files changed, 486 insertions(+), 43 deletions(-)	
"5427f65","Andyreww","Tue, 13 Feb 2024 21:15:42 -0500","changed the #include to minqueue.cpp",	 1 file changed, 12 insertions(+)	
"302fe50","Andyreww","Tue, 13 Feb 2024 21:14:31 -0500","Add files via upload",	 1 file changed, 8 insertions(+)	
"94ce5ac","Andyreww","Tue, 13 Feb 2024 21:13:28 -0500","Add files via upload",	 1 file changed, 5 insertions(+)	
"c085001","Andyreww","Tue, 13 Feb 2024 21:12:38 -0500","Add files via upload",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"9a9737e","Andyreww","Tue, 13 Feb 2024 21:11:53 -0500","Add files via upload",	 1 file changed, 17 insertions(+)	
"b839775","Andyreww","Tue, 13 Feb 2024 21:10:26 -0500","Delete MinQueue.h",	 1 file changed, 32 deletions(-)	
"7d6c0b2","Andyreww","Tue, 13 Feb 2024 21:09:42 -0500","Changed the filename and fixed 2 lines",	 1 file changed, 32 insertions(+)	
"31d9bf5","Andyreww","Tue, 13 Feb 2024 21:07:43 -0500","added makefile",	 1 file changed, 16 insertions(+)	
"ab780aa","Ethan Tecson","Tue, 13 Feb 2024 09:45:46 -0500","started header file",	 1 file changed, 32 insertions(+)	
"0c7982f","Aryahh07","Sun, 11 Feb 2024 17:04:28 -0500","Readme",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"1f06f6d","Aryah Rao","Wed, 7 Feb 2024 15:09:47 -0500","Initial commit",	 1 file changed, 1 insertion(+)	
